adult,cast,genre,id,original_title,overview,title,vote_average
0,"RyanCoogler LetitiaWright LupitaNyong'o DanaiGurira","[""Action"",""Adventure"",""SciFi""]",505642,Black Panther: Wakanda Forever,"queen ramonda, shuri, m’baku, okoye and the dora milaje fight to protect their nation from intervening world powers in the wake of king t’challa’s death.  as the wakandans strive to embrace their next chapter, the heroes must band together with the help of war dog nakia and everett ross and forge a new path for the kingdom of wakanda.",black panther,7.263
0,AndyMuschietti EzraMiller SashaCalle MichaelShannon,"[""SciFi"",""Action"",""Adventure""]",298618,The Flash,"when his attempt to save his family inadvertently alters the future, barry allen becomes trapped in a reality in which general zod has returned and there are no super heroes to turn to. in order to save the world that he is in and return to the future that he knows, barry's only hope is to race for his life. but will making the ultimate sacrifice be enough to reset the universe?",the flash,5
0,EdwardBazalgette AlexanderDreymon MarkRowley ArnasFedaravicius,"[""Action"",""Adventure"",""History"",""Drama"",""War""]",948713,The Last Kingdom: Seven Kings Must Die,"in the wake of king edward's death, uhtred of bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting england at last.",the last kingdom,7.275
0,JamesGunn ChrisPratt ZoeSaldaña DaveBautista,"[""Action"",""SciFi"",""Adventure""]",118340,Guardians of the Galaxy,"light years from earth, 26 years after being abducted, peter quill finds himself the prime target of a manhunt after discovering an orb wanted by ronan the accuser.",guardians of the galaxy,7.904
0,JoelCrawford AntonioBanderas SalmaHayek HarveyGuillén,"[""Animation"",""Family"",""Fantasy"",""Adventure"",""Comedy""]",315162,Puss in Boots: The Last Wish,"puss in boots discovers that his passion for adventure has taken its toll: he has burned through eight of his nine lives, leaving him with only one life left. puss sets out on an epic journey to find the mythical last wish and restore his nine lives.",puss in boots,8.292
0,JonWatts TomHolland Zendaya BenedictCumberbatch,"[""Action"",""Adventure"",""SciFi""]",634649,Spider-Man: No Way Home,"peter parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. when he asks for help from doctor strange the stakes become even more dangerous, forcing him to discover what it truly means to be spider-man.",spider-man,8
0,Jean-FrançoisRichet GerardButler MikeColter YosonAn,"[""Action"",""Adventure"",""Thriller""]",646389,Plane,"after a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.",plane,6.874
0,CatherineHardwicke ToniCollette MonicaBellucci GiulioMariaCorso,"[""Crime"",""Comedy""]",809787,Mafia Mamma,"a suburban american woman inherits her grandfather’s mafia empire and, guided by the firm’s trusted consigliere, defies everyone’s expectations, including her own, as the new head of the family business.",mafia mamma,6.965
0,AlexisJacknow DiannaAgron JayAli SaulRubinek,"[""Horror"",""Mystery"",""Thriller""]",1085103,Clock,"on the eve of her 38th birthday, a woman desperately attempts to fix her broken biological clock.",clock,5.896
0,JamesGunn ChrisPratt ZoeSaldaña DaveBautista,"[""SciFi"",""Adventure"",""Action"",""Comedy""]",283995,Guardians of the Galaxy Vol. 2,"the guardians must fight to keep their newfound family together as they unravel the mysteries of peter quill's true parentage.",guardians of the galaxy vol. 2,7.625
0,BritMcAdams OwenWilson MichaelaWatkins WendiMcLendon-Covey,"[""Comedy"",""Drama""]",821890,Paint,"carl nargle, vermont’s #1 public television painter, is convinced he has it all: a signature perm, custom van, and fans hanging on his every stroke… until a younger, better artist steals everything (and everyone) carl loves.",paint,6.107
0,GeorgeLucas MarkHamill HarrisonFord CarrieFisher,"[""Adventure"",""Action"",""SciFi""]",11,Star Wars,princess leia is captured and held hostage by the evil imperial forces in their effort to take over the galactic empire. venturesome luke skywalker and dashing captain han solo team together with the loveable robot duo r2-d2 and c-3po to rescue the beautiful princess and restore peace and justice in the empire.,star wars,8.208
0,TomekBaginski Mackenyu FamkeJanssen MadisonIseman,"[""Fantasy"",""Action"",""Adventure""]",455476,Knights of the Zodiac,"when a headstrong street orphan, seiya, in search of his abducted sister unwittingly taps into hidden powers, he discovers he might be the only person alive who can protect a reincarnated goddess, sent to watch over humanity. can he let his past go and embrace his destiny to become a knight of the zodiac?",knights of the zodiac,6.5
0,JamesCameron SamWorthington ZoeSaldaña StephenLang,"[""Action"",""Adventure"",""Fantasy"",""SciFi""]",19995,Avatar,"in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",avatar,7.57
0,DarrenAronofsky BrendanFraser SadieSink HongChau,"[""Drama""]",785084,The Whale,a reclusive english teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,the whale,8.046
0,AnthonyRusso JoeRusso RobertDowneyJr. ChrisEvans MarkRuffalo,"[""Adventure"",""SciFi"",""Action""]",299534,Avengers: Endgame,"after the devastating events of avengers: infinity war, the universe is in ruins due to the efforts of the mad titan, thanos. with the help of remaining allies, the avengers must assemble once more in order to undo thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",avengers,8.267
0,JustinLin VinDiesel MichelleRodriguez TyreseGibson,"[""Action"",""Adventure"",""Crime"",""Thriller""]",385128,F9,"dominic toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.",f9,7.2
0,CamilleDelamarre HenryGolding NoomiRapace DanielaMelchior,"[""Action"",""Thriller""]",876969,Assassin Club,"in this world of contract killers, morgan gaines is the best of the best. when morgan is hired to kill six people around the world, he soon discovers all the targets are also assassins unknowingly hired to kill each other.",assassin club,6.632
0,JosephKosinski TomCruise MilesTeller JenniferConnelly,"[""Action"",""Drama""]",361743,Top Gun: Maverick,"after more than thirty years of service as one of the navy’s top aviators, and dodging the advancement in rank that would ground him, pete “maverick” mitchell finds himself training a detachment of top gun graduates for a specialized mission the likes of which no living pilot has ever seen.",top gun,8.292
0,DenisVilleneuve TimothéeChalamet RebeccaFerguson OscarIsaac,"[""SciFi"",""Adventure""]",438631,Dune,"paul atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. as malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",dune,7.803
0,ShaneDaxTaylor BrendanFehr DolphLundgren LukeWilson,"[""Action"",""Thriller""]",1094319,The Best Man,"mercenaries seize control of a remote resort hotel during a wedding and it's up to the best man, the groom and their drunken best friend to stop the terrorists and save the hostages.",the best man,5.2
0,AnthonyRusso JoeRusso RobertDowneyJr. ChrisHemsworth MarkRuffalo,"[""Adventure"",""Action"",""SciFi""]",299536,Avengers: Infinity War,"as the avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: thanos. a despot of intergalactic infamy, his goal is to collect all six infinity stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. everything the avengers have fought for has led up to this moment - the fate of earth and existence itself has never been more uncertain.",avengers,8.263
0,RogerKumble DylanSprouse VirginiaGardner AustinNorth,"[""Romance"",""Drama"",""Comedy""]",1016121,Beautiful Disaster,"bad-boy travis is exactly what college freshman abby needs and wants to avoid. he spends his nights fighting in underground boxing matches, and his days as the ultimate college campus charmer. but abby wants nothing to do with travis. intrigued by abby’s resistance, travis offers her a simple bet: if he loses his next fight, he must remain sex-free for a month. if he wins, abby must live in his apartment for the same amount of time. either way, travis has no idea that abby’s dark past is about to emerge, and he may have finally met his match.",beautiful disaster,5.475
0,ChrisColumbus DanielRadcliffe RupertGrint EmmaWatson,"[""Adventure"",""Fantasy""]",671,"Harry Potter and the Philosopher's Stone","harry potter has lived under the stairs at his aunt and uncle's house his whole life. but on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the hogwarts school of witchcraft and wizardry. as he learns to harness his newfound powers with the help of the school's kindly headmaster, harry uncovers the truth about his parents' deaths—and about the villain who's to blame.","harry potter and the philosopher's stone",7.915
